Epoch|TrainCost|TrainAll|TrainRoot|TestCost|TestAll|TestRoot
0|32.185964|69.619125|25.421348|31.190210|69.691283|24.524887
1|28.423244|70.739401|26.767322|29.092777|69.923729|23.846154
2|26.872333|71.441262|28.569757|29.141031|70.105327|21.538462
3|25.920065|71.985548|29.190075|27.648654|70.645278|25.520362
4|25.160753|72.476788|29.740169|27.238257|70.635593|25.746606
5|24.485328|72.896774|31.027622|26.904895|70.878935|28.190045
6|24.415674|72.919688|28.277154|26.906574|71.539952|26.108597
7|23.168530|74.233635|30.009363|26.253596|72.035109|26.651584
8|22.605142|74.920743|31.285112|25.976777|72.377724|28.506787
9|22.097805|75.485432|32.092697|25.757504|72.813559|28.190045
10|21.584359|75.999900|33.602528|25.724921|73.122276|30.814480
11|21.447333|76.328857|34.410112|25.605201|73.163438|29.457014
12|21.761640|76.719338|35.077247|25.670219|74.193705|30.588235
13|20.707731|77.914634|37.277622|25.041331|74.515738|32.533937
14|20.341302|78.259600|35.557116|24.785229|74.823245|31.040724
15|19.692179|79.254321|38.916199|24.714196|75.352300|33.484163
16|19.248677|79.871116|40.426030|24.662663|75.709443|34.886878
17|18.928110|80.262852|41.268727|24.603157|75.946731|35.158371
18|19.549732|79.650451|36.598783|24.658427|75.761501|33.438914
19|19.329569|80.298950|37.909644|25.110235|76.261501|33.031674
20|18.784853|80.990765|38.927903|25.849682|74.917676|30.271493
21|18.355723|81.278917|40.706929|24.439884|76.889831|35.882353
22|17.684050|82.076514|42.825375|27.237943|76.710654|32.624434
23|17.693644|81.968849|41.842228|24.264108|77.000000|38.235294
24|18.559606|80.854537|35.639045|23.612665|76.782082|33.122172
25|17.418972|82.120145|40.695225|23.872484|77.202179|33.936652
26|17.023252|82.669454|41.549625|24.561238|77.079903|34.389140
27|17.128041|82.551117|42.556180|24.285506|77.296610|36.153846
28|16.627333|83.041415|42.801966|24.136115|77.357143|34.615385
29|16.308691|83.363153|43.211610|24.750734|77.254237|35.701357
30|17.924539|82.140862|39.173689|24.178192|77.207022|36.696833
31|16.878188|83.171366|43.071161|23.888931|77.437046|38.099548
32|16.318465|83.505973|43.995787|23.829277|77.593220|36.606335
33|15.911181|84.005688|44.077715|23.661620|77.691283|38.280543
34|16.439914|83.672649|43.316948|24.609998|77.808717|36.968326
35|15.796056|84.186489|44.803371|23.878246|77.893462|36.877828
36|16.963843|82.816669|40.367509|23.944494|77.876513|35.294118
37|15.782513|83.985913|42.720037|23.441199|78.227603|37.104072
38|15.708541|84.025463|43.960674|24.584115|78.276029|35.882353
39|15.310838|84.537105|44.300094|24.022838|78.046005|36.742081
40|14.910701|84.877991|45.131086|23.997863|78.421308|37.556561
41|14.674265|85.064756|47.226124|24.008688|78.331719|38.959276
42|16.467300|83.267730|41.104869|23.697299|78.237288|36.425339
43|15.299102|84.592664|44.346910|23.858258|78.351090|38.687783
44|14.697454|85.209773|47.003745|24.735311|78.214286|36.515837
45|14.619831|85.248696|46.781367|23.614056|78.581114|38.914027
46|14.239263|85.650476|48.361423|23.951474|78.601695|38.778281
47|14.073154|85.767557|48.911517|24.123992|78.727603|39.728507
48|15.884307|83.380103|43.808521|24.691969|78.341404|37.873303
49|15.822727|84.254289|44.815075|25.339020|77.805085|37.104072
50|14.999127|85.119373|45.833333|23.824031|78.309927|37.737557
51|14.449071|85.486311|46.839888|24.183601|78.421308|38.959276
52|14.170697|85.854505|47.893258|24.098418|78.593220|38.190045
53|13.902107|86.060732|48.712547|24.123979|78.657385|39.140271
54|14.988857|84.922563|43.867041|24.370345|78.329298|36.199095
55|14.275130|85.473128|46.488764|24.171584|78.720339|39.185520
56|14.118943|85.923875|47.858146|24.656779|78.648910|38.687783
57|13.730056|86.210458|48.841292|24.373722|78.700969|38.687783
58|13.463557|86.387806|48.958333|24.530222|78.674334|38.144796
59|13.347208|86.477893|48.384831|24.429929|78.688862|38.597285
