Epoch|TrainCost|TrainAll|TrainRoot|TestCost|TestAll|TestRoot
0|31.543068|69.926424|24.918071|31.062195|69.927361|20.904977
1|28.424502|71.028809|27.095037|29.176643|70.602906|24.660633
2|27.141993|71.724077|29.084738|28.192083|70.983051|29.276018
3|26.196075|72.176394|29.424157|27.639306|71.306295|31.131222
4|25.724706|72.445085|29.061330|27.327207|71.089588|26.606335
5|24.977061|73.157931|29.693352|26.838745|71.479419|26.470588
6|25.495140|73.118381|28.382491|26.734336|72.424939|27.737557
7|24.071198|74.498245|31.109551|26.289966|72.972155|29.547511
8|23.267233|75.449021|33.895131|25.893616|73.654964|32.171946
9|22.994587|75.905732|34.269663|26.089242|73.498789|30.950226
10|22.626593|76.310338|35.112360|25.877262|73.572639|31.583710
11|22.415789|76.500242|35.404963|25.626921|74.227603|33.665158
12|23.134837|75.958780|33.614232|25.613839|74.398305|30.135747
13|21.731584|77.604510|35.287921|25.509238|74.604116|30.723982
14|21.212786|78.029518|37.230805|25.043606|75.231235|33.846154
15|20.895987|78.495332|38.377809|25.198301|75.088378|33.574661
16|21.098935|78.550577|37.921348|25.243913|75.325666|30.588235
17|20.319193|79.210062|39.618446|24.886718|75.716707|34.343891
18|22.156514|77.347433|31.156367|25.454954|74.903148|25.882353
19|20.428100|79.712601|37.031835|24.799257|75.625908|27.873303
20|19.915967|80.393117|39.220506|24.887090|76.444310|31.990950
21|19.337016|81.204211|39.805712|24.486318|77.122276|34.162896
22|18.713730|81.907955|42.017790|24.203166|77.416465|36.787330
23|18.450860|82.190143|42.614700|24.272699|77.544794|36.289593
24|21.642244|79.779460|34.468633|25.532674|76.684019|32.579186
25|19.965878|81.183180|38.927903|25.448108|76.716707|31.040724
26|19.299334|81.906699|39.548221|25.147078|77.119855|32.217195
27|18.835620|82.427758|41.011236|25.025240|77.282082|33.393665
28|18.660848|82.661607|42.205056|25.195024|77.131961|33.574661
29|18.751856|82.371885|40.063202|25.062174|77.250605|32.760181
30|20.846990|80.447420|34.117509|24.992847|76.983051|30.361991
31|19.406826|81.823832|38.354401|26.419186|77.319613|31.583710
32|18.843272|82.576542|39.758895|24.867948|77.365617|34.072398
33|18.475966|82.764563|39.712079|24.522525|77.738499|34.027149
34|19.009319|82.119831|37.921348|24.690320|77.164649|33.665158
35|18.309917|82.875366|40.742041|24.525715|77.625908|33.800905
36|20.000182|81.527205|36.891386|24.329729|77.861985|35.294118
37|18.569159|82.991192|40.870787|24.784112|77.668281|35.475113
38|18.247966|83.335844|40.625000|24.229547|78.296610|31.764706
39|17.684719|83.894570|41.338951|24.198843|78.669492|37.194570
40|17.040576|84.621542|45.634363|23.827318|78.958838|38.371041
41|16.794691|84.772837|46.266386|24.110097|78.877724|38.823529
42|18.476159|83.043926|40.215356|24.020468|78.765133|36.470588
43|17.165977|84.498496|44.908708|23.653826|79.025424|37.601810
44|16.584460|85.029600|46.055712|23.591371|79.050847|38.325792
45|16.255208|85.462142|48.103933|23.851943|79.257869|39.411765
46|16.050818|85.577026|48.396536|23.558585|79.041162|38.959276
47|15.783112|85.726752|48.092228|23.464865|79.180387|40.180995
48|17.778373|83.725697|42.907303|24.177447|78.746973|37.466063
49|16.370855|85.252149|46.453652|24.054047|79.153753|40.904977
50|15.754815|85.844461|48.888109|23.859547|79.101695|39.819005
51|15.339918|86.126021|49.461610|23.895577|79.260291|39.773756
52|15.046601|86.478207|50.842697|24.127922|79.141646|39.954751
53|14.892333|86.493587|50.269195|23.992653|79.303874|41.357466
54|16.557694|84.993816|43.445693|23.972157|79.210654|37.375566
55|16.248205|85.135067|43.679775|24.242556|78.922518|37.104072
56|15.865111|85.719532|46.992041|24.070084|79.232446|39.185520
57|15.414349|86.016473|48.911517|24.326886|79.306295|39.049774
58|15.099228|86.448387|49.473315|23.990504|79.400726|40.271493
59|14.627587|86.757569|51.217228|23.904319|79.338983|40.814480
